year,month,OP_CARRIER,flights,cancelled,diverted,delayed15,dep_delay_sum,dep_delay_n,arr_delay_sum,arr_delay_n,taxi_out_sum,taxi_in_sum,carrier_min,weather_min,nas_min,security_min,late_aircraft_min
2014,10,MQ,32010,1512,66,9230,394777.0,30565,425624.0,30432,494322.0,267139.0,115937.0,28079.0,179313.0,624.0,197116.0
2014,10,OO,51019,860,65,8795,306659.0,50202,269392.0,50094,836610.0,346367.0,132804.0,7111.0,134362.0,371.0,231776.0
2014,10,UA,43335,276,77,9456,519860.0,43073,258061.0,42982,743680.0,342828.0,155809.0,11768.0,164645.0,15.0,186947.0
2014,10,US,35634,230,56,5655,113213.0,35429,59566.0,35348,647277.0,259986.0,90476.0,4869.0,94375.0,502.0,62729.0
2014,10,VX,4722,2,3,769,37303.0,4720,15594.0,4717,66898.0,37990.0,9300.0,2622.0,20063.0,185.0,14826.0
2014,10,WN,99257,709,127,18741,926550.0,98561,418101.0,98421,1145523.0,563104.0,244102.0,19114.0,137479.0,275.0,455072.0
2014,11,AA,42541,255,95,8903,421629.0,42292,268023.0,42191,683346.0,367658.0,171240.0,20129.0,97059.0,423.0,223509.0
2014,11,AS,13074,56,37,1906,33479.0,13026,-8732.0,12981,198719.0,77541.0,21662.0,4165.0,26507.0,171.0,31984.0
2014,11,B6,20050,153,31,3607,107603.0,19906,38873.0,19866,338384.0,117493.0,51453.0,4395.0,64844.0,330.0,60764.0
2014,11,DL,66995,35,68,8899,338840.0,66963,-3027.0,66892,1183897.0,467808.0,176268.0,20696.0,134597.0,469.0,124794.0
2014,11,EV,51569,552,118,9275,348020.0,51039,213098.0,50899,829202.0,380652.0,175094.0,7125.0,148435.0,0.0,207432.0
2014,11,F9,7729,38,7,2097,89388.0,7694,106090.0,7684,112945.0,60786.0,20134.0,897.0,55422.0,0.0,52099.0
2014,11,FL,3951,12,1,367,10410.0,3939,-20369.0,3938,50306.0,31604.0,4868.0,86.0,4500.0,0.0,6829.0
2014,11,HA,6137,16,5,628,-3084.0,6122,11758.0,6116,69625.0,40968.0,12590.0,254.0,733.0,0.0,6889.0
2014,11,MQ,29169,1022,48,7874,302229.0,28192,317006.0,28099,464480.0,268268.0,106111.0,40365.0,117398.0,460.0,163914.0
2014,11,OO,47513,1053,114,10069,419130.0,46522,392500.0,46346,833191.0,327812.0,163821.0,14946.0,140507.0,747.0,284267.0
2014,11,UA,39798,258,51,7402,473376.0,39560,124051.0,39489,674624.0,321030.0,138988.0,17150.0,104926.0,0.0,157802.0
2014,11,US,33177,217,27,5404,122004.0,32979,54769.0,32933,603240.0,239989.0,92067.0,2246.0,81370.0,458.0,63947.0
2014,11,VX,4723,7,6,803,40535.0,4718,19292.0,4710,66961.0,38326.0,5880.0,3504.0,25662.0,43.0,16177.0
2014,11,WN,95628,627,99,17423,888384.0,95014,328401.0,94902,1117875.0,546628.0,253653.0,19484.0,115403.0,1054.0,446050.0
2014,12,AA,45390,358,100,11650,586367.0,45040,453694.0,44932,753936.0,409634.0,238316.0,7021.0,129986.0,502.0,286053.0
2014,12,AS,13611,68,57,2548,80331.0,13546,37756.0,13486,208735.0,80902.0,35244.0,2545.0,42543.0,360.0,50003.0
2014,12,B6,21971,116,69,4132,143162.0,21856,52788.0,21786,382054.0,131655.0,63932.0,1137.0,68515.0,846.0,70389.0
2014,12,DL,66522,45,71,7237,314192.0,66478,-238706.0,66406,1186860.0,469886.0,169465.0,17763.0,104437.0,32.0,85194.0
2014,12,EV,52156,836,171,11500,520594.0,51370,400080.0,51149,833553.0,389805.0,226608.0,8990.0,170791.0,0.0,269496.0
2014,12,F9,7801,46,10,2457,129687.0,7756,137918.0,7745,116217.0,61979.0,31557.0,916.0,62702.0,0.0,62789.0
2014,12,FL,2940,13,2,359,14684.0,2929,-6404.0,2925,37885.0,23534.0,5229.0,55.0,3206.0,0.0,7714.0
2014,12,HA,6426,21,9,748,10108.0,6409,21671.0,6396,72341.0,42501.0,20645.0,795.0,347.0,12.0,11071.0
2014,12,MQ,30484,1431,93,9717,396527.0,29111,413817.0,28960,475464.0,281736.0,143714.0,35565.0,122031.0,1101.0,201933.0
2014,12,OO,49397,2438,185,13556,672592.0,47050,662364.0,46774,869493.0,338680.0,217400.0,20619.0,183343.0,1115.0,396170.0
2014,12,UA,40439,322,66,10787,686493.0,40128,381366.0,40051,706270.0,341243.0,195560.0,8888.0,189267.0,50.0,213934.0
2014,12,US,34175,163,43,6189,140663.0,34034,80305.0,33969,625083.0,253171.0,90350.0,1796.0,96906.0,973.0,60936.0
2014,12,VX,4993,59,39,1491,113393.0,4934,96649.0,4895,75178.0,42008.0,13659.0,6360.0,59955.0,312.0,38567.0
2014,12,WN,100878,819,133,27792,1542293.0,100072,994264.0,99926,1192397.0,590687.0,414541.0,29315.0,182761.0,1827.0,765071.0
2015,1,AA,44059,900,85,9529,457355.0,43173,299616.0,43074,719945.0,388587.0,203731.0,24820.0,100460.0,636.0,225852.0
2015,1,AS,13257,64,42,1939,41946.0,13198,-4220.0,13151,205794.0,79256.0,28833.0,7333.0,23322.0,104.0,40466.0
2015,1,B6,21623,1102,39,4944,206040.0,20531,150487.0,20482,376817.0,127731.0,76452.0,9393.0,80780.0,1144.0,108437.0
2015,1,DL,64421,678,67,8186,376407.0,63752,-130144.0,63676,1182789.0,464114.0,177509.0,41375.0,119586.0,582.0,120406.0
2015,1,EV,49925,1702,139,10991,470725.0,48267,410517.0,48084,828769.0,371144.0,225639.0,19179.0,164336.0,0.0,254080.0
2015,1,F9,6829,89,5,2151,121305.0,6745,123636.0,6735,106230.0,56648.0,33264.0,1293.0,48440.0,0.0,66621.0
2015,1,HA,6440,26,6,901,8408.0,6418,22509.0,6408,72023.0,43884.0,17102.0,1415.0,1710.0,162.0,15175.0
2015,1,MQ,29900,2288,44,9497,444967.0,27670,500772.0,27568,484996.0,292153.0,147471.0,54185.0,152168.0,996.0,246744.0
2015,1,NK,8743,98,13,2346,113676.0,8647,98388.0,8632,128389.0,82094.0,20312.0,607.0,93908.0,384.0,24678.0
2015,1,OO,48114,1262,197,11355,570636.0,46946,508068.0,46655,867030.0,335316.0,215580.0,30684.0,136501.0,671.0,348926.0
2015,1,UA,38395,967,65,8401,524744.0,37454,237357.0,37363,655821.0,332848.0,173564.0,33093.0,114005.0,32.0,167279.0
2015,1,US,33489,959,52,6022,169183.0,32552,100924.0,32478,625883.0,236960.0,100893.0,7694.0,97172.0,1011.0,81147.0
2015,1,VX,4731,80,4,756,32142.0,4651,6602.0,4647,67133.0,38291.0,10001.0,3951.0,14906.0,152.0,12141.0
2015,1,WN,100042,1767,215,18933,935339.0,98307,332371.0,98060,1216971.0,582296.0,277804.0,28065.0,130761.0,826.0,471913.0
2015,2,AA,39835,2554,101,7925,382963.0,37330,279973.0,37180,664189.0,338689.0,166410.0,51263.0,124060.0,511.0,159419.0
2015,2,AS,12194,113,53,1652,32681.0,12087,-9417.0,12028,179098.0,71258.0,26008.0,3478.0,22220.0,185.0,37265.0
2015,2,B6,19751,1296,72,6582,363197.0,18469,342984.0,18383,361671.0,123528.0,125882.0,20756.0,102542.0,1066.0,173285.0
2015,2,DL,60884,1696,118,11586,724050.0,59220,331663.0,59070,1120331.0,446746.0,254968.0,104403.0,169486.0,164.0,221922.0
2015,2,EV,45138,3002,131,10542,473888.0,42195,437576.0,42005,749907.0,329820.0,212197.0,22094.0,153998.0,0.0,242263.0
2015,2,F9,5809,108,10,2274,146727.0,5707,156071.0,5691,96836.0,49709.0,36175.0,4278.0,60642.0,0.0,73291.0
2015,2,HA,5779,3,3,1021,14905.0,5776,34811.0,5773,64398.0,40746.0,21060.0,2474.0,735.0,25.0,15355.0
2015,2,MQ,26940,3887,61,8625,430808.0,23161,489767.0,22992,432006.0,238560.0,120657.0,63333.0,149985.0,754.0,227018.0
2015,2,NK,8089,266,10,2566,132817.0,7832,128715.0,7813,122413.0,76213.0,38397.0,6142.0,63097.0,179.0,53801.0
2015,2,OO,43989,1403,137,9878,467200.0,42649,407039.0,42449,785588.0,297594.0,164448.0,37990.0,125811.0,446.0,287589.0
2015,2,UA,36235,1006,57,8491,525462.0,35247,255372.0,35172,628243.0,306493.0,163222.0,37149.0,118593.0,0.0,152922.0
2015,2,US,30153,1574,70,6574,261166.0,28627,202826.0,28509,558726.0,218292.0,122276.0,20949.0,104675.0,898.0,103793.0
2015,2,VX,4223,155,14,839,51322.0,4073,31558.0,4054,59875.0,33505.0,9137.0,3686.0,23867.0,20.0,21339.0
2015,2,WN,90172,3454,174,16624,855464.0,86759,303022.0,86544,1092541.0,525644.0,251823.0,33270.0,129462.0,332.0,388656.0
2015,3,AA,45966,1428,98,9765,494131.0,44570,297463.0,44440,752255.0,406480.0,221901.0,18417.0,108849.0,412.0,220425.0
